"Date","Price","Open","High","Low","Vol.","Change %"
"03/28/2024","11.60","11.50","11.70","11.40","76.05K","0.87%"
"03/27/2024","11.50","11.70","11.80","11.50","97.58K","-1.71%"
"03/25/2024","11.70","11.70","11.80","11.60","83.40K","0.00%"
"03/24/2024","11.70","11.90","11.90","11.60","34.41K","-1.68%"
"03/21/2024","11.90","12.20","12.20","11.80","147.24K","0.00%"
"03/20/2024","11.90","11.70","12.00","11.50","215.90K","2.59%"
"03/19/2024","11.60","11.50","11.70","11.50","52.99K","0.00%"
"03/18/2024","11.60","11.80","11.80","11.50","16.58K","-1.69%"
"03/14/2024","11.80","11.70","11.90","11.70","57.35K","0.85%"
"03/13/2024","11.70","11.60","11.90","11.60","14.81K","0.00%"
"03/12/2024","11.70","11.70","11.90","11.70","26.89K","-0.85%"
"03/11/2024","11.80","11.80","11.90","11.70","38.98K","0.00%"
"03/10/2024","11.80","11.90","11.90","11.70","34.23K","-0.84%"
"03/07/2024","11.90","11.90","11.90","11.80","25.52K","0.00%"
"03/06/2024","11.90","11.70","12.10","11.70","244.65K","0.00%"
"03/05/2024","11.90","11.70","12.00","11.70","133.58K","0.00%"
"03/04/2024","11.90","11.60","11.90","11.60","223.24K","1.71%"
"03/03/2024","11.70","11.80","11.90","11.60","145.39K","-0.85%"
"02/29/2024","11.80","11.80","11.80","11.70","93.91K","0.85%"
"02/28/2024","11.70","11.90","11.90","11.50","378.71K","-1.68%"
"02/27/2024","11.90","12.00","12.00","11.80","339.55K","-0.83%"
"02/25/2024","12.00","12.00","12.20","12.00","92.27K","-0.83%"
"02/22/2024","12.10","12.10","12.20","12.00","147.71K","0.00%"
"02/20/2024","12.10","11.90","12.10","11.90","103.68K","1.68%"
"02/19/2024","11.90","12.20","12.20","11.90","78.13K","-0.83%"
"02/18/2024","12.00","12.40","12.40","11.90","181.37K","-0.83%"
"02/15/2024","12.10","12.40","12.40","12.00","213.82K","-2.42%"
"02/14/2024","12.40","12.40","12.50","12.30","370.01K","0.00%"
"02/13/2024","12.40","12.80","12.80","12.40","660.05K","-3.13%"
"02/12/2024","12.80","12.90","13.00","12.50","722.65K","-0.78%"
"02/11/2024","12.90","12.20","13.00","12.20","2.04M","6.61%"
"02/08/2024","12.10","12.50","12.50","11.90","580.61K","1.68%"
"02/07/2024","11.90","12.00","12.10","11.80","352.69K","-2.46%"
"02/06/2024","12.20","12.30","12.30","12.00","637.40K","-0.81%"
"02/05/2024","12.30","11.90","12.30","11.90","627.83K","2.50%"
"02/04/2024","12.00","12.00","12.10","11.90","84.87K","1.69%"
"02/01/2024","11.80","11.80","12.00","11.70","127.28K","0.00%"
"01/31/2024","11.80","11.90","11.90","11.80","79.60K","-0.84%"
"01/30/2024","11.90","11.70","12.00","11.60","216.51K","1.71%"
"01/29/2024","11.70","11.90","11.90","11.60","257.58K","-1.68%"
"01/28/2024","11.90","12.00","12.00","11.90","131.21K","-1.65%"
"01/25/2024","12.10","12.10","12.10","11.90","594.79K","-0.82%"
"01/24/2024","12.20","12.40","12.40","12.00","574.22K","-1.61%"
"01/23/2024","12.40","12.00","13.00","12.00","469.98K","2.48%"
"01/22/2024","12.10","12.00","12.20","11.80","328.94K","0.83%"
"01/21/2024","12.00","11.30","12.10","11.30","138.08K","-4.00%"
"01/18/2024","12.50","12.50","12.50","12.50","201.07K","0.00%"
"01/17/2024","12.50","12.50","12.50","12.50","5.25K","0.00%"
"01/16/2024","12.50","12.50","12.50","12.50","4.66K","0.00%"
"01/15/2024","12.50","12.50","12.50","12.50","4.19K","0.00%"
"01/14/2024","12.50","12.50","12.50","12.50","12.33K","0.00%"
"01/11/2024","12.50","12.50","12.50","12.50","2.45K","0.00%"
"01/10/2024","12.50","12.50","12.50","12.50","64.33K","0.00%"
"01/09/2024","12.50","12.50","12.50","12.50","203.71K","0.00%"
"01/08/2024","12.50","12.50","12.90","12.50","491.37K","0.00%"
"01/04/2024","12.50","12.50","12.50","12.50","0.20K","0.00%"
"01/03/2024","12.50","12.50","12.50","12.50","0.11K","0.00%"
"01/02/2024","12.50","12.50","12.50","12.50","1.45K","0.00%"
"01/01/2024","12.50","12.50","12.50","12.50","0.96K","0.00%"
"12/28/2023","12.50","12.50","12.50","12.50","0.81K","0.00%"
"12/27/2023","12.50","12.50","12.50","12.50","1.75K","0.00%"
"12/26/2023","12.50","12.50","12.50","12.50","13.16K","0.00%"
"12/24/2023","12.50","12.50","12.50","12.50","1.00K","0.00%"
"12/21/2023","12.50","12.50","12.50","12.50","3.39K","0.00%"
"12/20/2023","12.50","12.50","12.50","12.50","13.53K","0.00%"
"12/19/2023","12.50","12.50","12.50","12.50","0.30K","0.00%"
"12/18/2023","12.50","12.50","12.50","12.50","13.01K","0.00%"
"12/17/2023","12.50","12.50","12.50","12.50","1.24K","0.00%"
"12/14/2023","12.50","12.50","12.50","12.50","2.52K","0.00%"
"12/13/2023","12.50","12.50","12.50","12.50","147.50K","0.00%"
"12/12/2023","12.50","12.50","12.50","12.50","0.99K","0.00%"
"12/11/2023","12.50","12.50","12.50","12.50","1.70K","0.00%"
